"Name","Season","GamesPlayed","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"CHA","2024-25",82,1535,748,114,115,121,15,94,24,0,0,1,5,4,14,1486
"DET","2024-25",82,1695,835,130,108,103,27,106,26,0,0,0,3,5,15,1547
"MIL","2024-25",82,1469,754,80,78,111,24,83,20,0,0,0,2,0,18,1550
"PHI","2024-25",82,1556,785,98,110,86,40,73,29,0,0,0,5,4,10,1530
"CLE","2019-20",65,1188,537,58,77,74,32,99,36,0,0,0,0,0,4,1275
"PHX","2019-20",73,1609,755,86,81,98,44,156,51,0,0,2,0,0,9,1652
"UTA","2019-20",72,1468,646,101,90,118,49,108,27,0,0,2,0,0,13,1499
"NOP","2024-25",82,1499,819,91,85,74,26,61,20,0,0,0,4,6,6,1471
"BOS","2024-25",82,1303,679,95,111,91,23,59,19,0,0,0,8,4,7,1438
"DAL","2024-25",82,1458,813,95,81,81,34,84,17,0,0,0,3,7,11,1532
"NYK","2024-25",82,1407,739,92,86,81,26,100,42,0,0,1,3,3,8,1554
"SAC","2024-25",82,1548,840,97,87,95,21,101,32,0,0,0,4,5,10,1515
"LAL","2019-20",71,1471,672,114,103,95,44,95,49,0,0,1,0,0,6,1542
"MIA","2019-20",73,1501,746,87,70,114,43,81,50,0,0,0,0,0,13,1584
"MIN","2019-20",64,1370,698,62,87,76,46,79,43,0,0,0,0,0,7,1382
"BKN","2019-20",72,1510,687,111,103,129,29,105,37,0,0,0,0,0,18,1518
"IND","2019-20",73,1443,680,109,94,99,42,140,34,0,0,2,0,0,7,1371
"PHI","2019-20",73,1529,748,88,78,123,47,98,28,0,0,0,0,0,16,1493
"SAS","2019-20",71,1377,695,56,57,93,33,100,51,0,0,3,0,0,8,1424
"MEM","2019-20",73,1546,775,104,76,100,46,107,30,0,0,1,0,0,19,1474
"WAS","2019-20",72,1634,782,93,108,100,41,127,88,0,0,1,0,0,14,1599
"CHA","2019-20",65,1223,538,65,89,97,30,92,47,0,0,1,0,0,16,1336
"DAL","2019-20",75,1462,683,76,97,94,41,95,43,0,0,1,0,0,5,1600
"DEN","2019-20",73,1485,699,81,81,87,59,88,38,0,0,1,0,0,13,1494
"MIN","2021-22",82,1786,857,103,116,119,42,107,50,0,0,1,0,0,24,1709
"CHA","2021-22",82,1629,745,101,73,73,40,119,34,0,0,0,0,0,18,1608
"OKC","2021-22",82,1497,773,72,62,66,38,103,23,0,0,1,0,0,12,1460
"BOS","2021-22",82,1521,732,87,78,101,25,104,43,0,0,1,0,0,11,1592
"MIL","2021-22",82,1494,725,102,88,83,50,97,26,0,0,1,0,0,14,1609
"CLE","2021-22",82,1433,703,60,75,71,30,103,41,0,0,4,0,0,7,1638
"ATL","2007-08",82,1673,865,81,93,167,0,114,0,0,0,1,0,0,13,1792
"LAC","2007-08",82,1745,902,78,99,148,0,122,0,0,0,3,0,0,18,1772
"HOU","2021-22",82,1692,842,99,104,97,48,149,62,0,0,6,0,0,16,1810
"LAC","2017-18",82,1638,789,93,119,59,33,82,60,42,55,5,0,0,20,1802
"LAL","2017-18",82,1735,791,128,89,98,80,88,37,54,38,0,0,0,17,1674
"MIA","2017-18",82,1648,819,93,87,88,59,87,56,49,38,1,0,0,6,1584
"MIN","2017-18",82,1495,738,105,81,82,54,85,54,32,44,1,0,0,13,1709
"BKN","2017-18",82,1688,823,94,87,102,61,98,44,46,47,2,0,0,19,1615
"NYK","2017-18",82,1682,791,110,99,100,45,79,32,14,16,1,0,0,20,1507
"ORL","2017-18",82,1579,798,58,95,76,63,68,71,35,25,3,0,0,8,1553
